name,color
SMER-SD,#cd2528
PS,#5db5ba
HLAS-SD,#c24772
OĽANO,#5b8f29
KDH,#59d0f7
SaS,#A6CE39
SNS,#996633
REPUBLIKA,#9c4b30
SME RODINA,#3971ce
Slovensko(OĽANO),#5b8f29
Demokrati,#c501ff
