id,text
focus_apr25,"Prieskum Focus pre server 360tka.sk"
ipsos_mar25,"Prieskum IPSOS pre Dennik N"
nms_mar25,"Prieskum NMS Market Research Slovakia pre SME"
focus_feb25,"Prieskum Focus pre TV Markíza"
ako_feb25,"Exkluzívny prieskum AKO pre TV JOJ24"
volby_oct23,"Oficiálne výsledky volieb do NRSR 2023"
exitpoll_sep23,"Exitpoll agentúry Focus pre TV Markíza"
